Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,# Razor Peptides,Abundance: F2: Sample,Found in Sample: F2: Sample,# Protein Groups,Modifications
FALSE,High,Master Protein,XP_018742465.1,hypothetical protein FVEG_00370 [Fusarium verticillioides 7600],0,30.677,30,13,236,13,416,43.2,8.56,775.73,13,0,5125861470,High,1,
FALSE,High,Master Protein,XP_018759418.1,carboxylesterase 1 [Fusarium verticillioides 7600],0,31.821,41,11,79,11,311,33.8,8.62,199.76,11,0,207699410,High,1,
FALSE,High,Master Protein,XP_018760431.1,glycosyl hydrolase family 10 [Fusarium verticillioides 7600],0,14.908,36,10,23,10,356,39.3,8.76,43.41,10,0,21135770.8,High,1,
FALSE,High,Master Protein,XP_018761519.1,"endo-1,4-beta-xylanase C [Fusarium verticillioides 7600]",0,15.714,20,5,22,5,328,35.7,8.88,74.82,5,0,92275982.89,High,1,
FALSE,High,Master Protein,XP_018744610.1,hypothetical protein FVEG_01630 [Fusarium verticillioides 7600],0,9.045,27,6,14,6,206,21.9,6.9,22.65,6,0,9241996.469,High,1,
FALSE,High,Master Protein,EWG47586.1,hypothetical protein FVEG_07653 [Fusarium verticillioides 7600],0,6.074,14,5,14,5,368,39.6,6.73,26.49,5,0,20240384.53,High,1,
FALSE,High,Master Protein,XP_018755440.1,"endo-1,4-beta-xylanase [Fusarium verticillioides 7600]",0,5.275,18,4,13,4,233,25.2,9,24.29,4,0,22664872.25,High,1,
FALSE,High,Master Protein,XP_018747340.1,hypothetical protein FVEG_03308 [Fusarium verticillioides 7600],0,6.117,16,3,12,3,227,23.4,5.14,22.13,3,0,9954895.031,High,1,
FALSE,High,Master Protein,XP_018760212.1,hypothetical protein FVEG_12324 [Fusarium verticillioides 7600],0,4.574,22,4,11,4,218,23.5,6.15,27.82,4,0,22692729,High,1,
FALSE,High,Master Protein,XP_018760148.1,trypsin [Fusarium verticillioides 7600],0,6.728,27,5,11,5,248,24.7,8.69,17.4,5,0,10619485.42,High,1,
FALSE,High,Master Protein,EWG53223.1,"arabinogalactan endo-1,4-beta-galactosidase [Fusarium verticillioides 7600]",0,2.74,8,3,8,3,348,38,8.62,9.99,3,0,4099185.875,High,1,
FALSE,High,Master Protein,EWG55788.1,hypothetical protein FVEG_13736 [Fusarium verticillioides 7600],0,3.588,13,4,6,4,355,37,8.5,12.18,4,0,2537209.25,High,1,
FALSE,High,Master Protein,EWG53856.1,carboxypeptidase A4 [Fusarium verticillioides 7600],0,3.422,8,3,4,3,413,44.8,6.8,5.29,3,0,2242016.25,High,1,
FALSE,High,Master Protein,EWG54450.1,alpha-L-arabinofuranosidase axhA [Fusarium verticillioides 7600],0,5.449,7,2,4,2,323,35,8.31,8.3,2,0,1346351.031,High,1,
FALSE,High,Master Protein,EWG38593.1,hypothetical protein FVEG_01779 [Fusarium verticillioides 7600],0,2.254,7,3,3,3,430,48.6,6.32,5.59,3,0,1391657.328,High,1,
FALSE,High,Master Protein,XP_018742012.1,subtilisin [Fusarium verticillioides 7600],0,1.354,3,1,2,1,413,42.1,6.96,3.3,1,0,2592973,High,1,
FALSE,High,Master Protein,XP_018750908.1,hypothetical protein FVEG_05715 [Fusarium verticillioides 7600],0,0.751,16,1,2,1,81,9.2,4.64,2.01,1,0,,High,1,
FALSE,High,Master Protein,XP_018748181.1,transcription initiation factor TFIID subunit 2 [Fusarium verticillioides 7600],0,0.407,1,1,2,1,1499,170,8.53,0,1,0,3278387.25,High,1,
FALSE,High,Master Protein,XP_018762357.1,subtilisin [Fusarium verticillioides 7600],0,0.376,5,1,2,1,415,44.3,9.13,0,1,0,207585.8672,High,1,
FALSE,High,Master Protein,XP_018755253.1,alkaline proteinase [Fusarium verticillioides 7600],0,0.72,2,1,2,1,414,42.7,7.25,2.91,1,0,383825.0625,High,1,
FALSE,High,Master Protein,EWG46631.1,hypothetical protein FVEG_16003 [Fusarium verticillioides 7600],0,0.41,1,1,1,1,752,83.2,7.62,0,1,0,5794919,High,1,
FALSE,High,Master Protein,EWG53008.1,hypothetical protein FVEG_11542 [Fusarium verticillioides 7600],0,0.402,2,1,1,1,428,47.2,6.21,2.03,1,0,974029.125,High,1,Met-loss+Acetyl [N-Term]
FALSE,High,Master Protein,EWG51732.1,"arabinan endo-1,5-alpha-L-arabinosidase [Fusarium verticillioides 7600]",0,0.428,3,1,1,1,315,33.9,7.96,0,1,0,253703.3125,High,1,
FALSE,High,Master Protein,EWG44782.1,hypothetical protein FVEG_05772 [Fusarium verticillioides 7600],0,1.875,4,1,1,1,255,27.2,8.15,3.19,1,0,423804.5938,High,1,
FALSE,High,Master Protein,XP_018758723.1,hypothetical protein FVEG_16989 [Fusarium verticillioides 7600],0,0.439,29,1,1,1,35,3.6,6.46,0,1,0,223581.7344,High,1,
